o:id,o:resource_class,schema:sameAs,jdc:valeurUtilite,jdc:hasRencontre,dcterms:title,foaf:firstName,foaf:lastName,foaf:givenName,foaf:homepage,schema:relatedLink
299956,foaf:Person,,,,Mehdi Mirza,Mehdi,Mirza,Mehdi Mirza,,
62302,foaf:Person,,,,John C. Mitchell,John C.,Mitchell,John C. Mitchell,,
62382,foaf:Person,,,,Riichiro Mizoguchi,Riichiro,Mizoguchi,Riichiro Mizoguchi,,
61496,foaf:Person,,40,50,Abderrazak Mkadmi,Abderrazak,Mkadmi,Abderrazak Mkadmi,,
61592,foaf:Person,,,,Daniel Moatti,Daniel,Moatti,Daniel Moatti,,
61446,foaf:Person,,30,,Moebius,,Moebius,Moebius,,
61382,foaf:Person,,,,H. F. Moed,H. F.,Moed,H. F. Moed,,
61228,foaf:Person,,,,Chatti Mohammed Amine,Chatti,Mohammed Amine,Chatti Mohammed Amine,,
61242,foaf:Person,,,,Najoua Mohib,Najoua,Mohib,Najoua Mohib,,
61746,foaf:Person,,40,,Jean-Louis Le Moigne,Jean-Louis Le,Moigne,Jean-Louis Le Moigne,,
62428,foaf:Person,,,,Eleonora Moiraghi,Eleonora,Moiraghi,Eleonora Moiraghi,,
62588,foaf:Person,,,,Bernard Moizo,Bernard,Moizo,Bernard Moizo,,
61050,foaf:Person,,,,Pascal. Moliner,Pascal.,Moliner,Pascal. Moliner,,
61908,foaf:Person,,,,Kim Moller,Kim,Moller,Kim Moller,,
61815,foaf:Person,,,,Ethan R. Mollick,Ethan R.,Mollick,Ethan R. Mollick,,
61655,foaf:Person,,,,Olivier Mongin,Olivier,Mongin,Olivier Mongin,,
61407,foaf:Person,,30,10,Alexandre Monnin,Alexandre,Monnin,Alexandre Monnin,,
61634,foaf:Person,,,,Monnoyer-Smith,,Monnoyer-Smith,Monnoyer-Smith,,
62175,foaf:Person,,,,Martin Monperrus,Martin,Monperrus,Martin Monperrus,,
61323,foaf:Person,,,,Agnès Montaigne,Agnès,Montaigne,Agnès Montaigne,,
62232,foaf:Person,,,,Claude Monteil,Claude,Monteil,Claude Monteil,,
62176,foaf:Person,,,,Cendrine Mony,Cendrine,Mony,Cendrine Mony,,
61413,foaf:Person,,,,Pierre Moor,Pierre,Moor,Pierre Moor,,
62496,foaf:Person,,,,Stuart Moran,Stuart,Moran,Stuart Moran,,
62324,foaf:Person,,,,Elise Moreau,Elise,Moreau,Elise Moreau,,
61984,foaf:Person,,,,Joseph Moreau,Joseph,Moreau,Joseph Moreau,,
62233,foaf:Person,,,,Diego Moreno,Diego,Moreno,Diego Moreno,,
61996,foaf:Person,,,,Franco Moretti,Franco,Moretti,Franco Moretti,,
61891,foaf:Person,,,,Cyrille Morin,Cyrille,Morin,Cyrille Morin,,
61172,foaf:Person,,80,,Edgar Morin,Edgar,Morin,Edgar Morin,,
61909,foaf:Person,,,,Karsten Morisse,Karsten,Morisse,Karsten Morisse,,
62511,foaf:Person,,,,Lucie K. Morisset,Lucie K.,Morisset,Lucie K. Morisset,,
61516,foaf:Person,,,,Jacques Morizot,Jacques,Morizot,Jacques Morizot,,
62000,foaf:Person,,,,Evgeny Morozov,Evgeny,Morozov,Evgeny Morozov,,
62090,foaf:Person,,,,Antonio Mosca,Antonio,Mosca,Antonio Mosca,,
62257,foaf:Person,,,,Silvia Mostaccio,Silvia,Mostaccio,Silvia Mostaccio,,
62186,foaf:Person,,,,Eric Mougenot,Eric,Mougenot,Eric Mougenot,,
62193,foaf:Person,,10,,Yann Moulier-Boutang,Yann,Moulier-Boutang,Yann Moulier-Boutang,,
61993,foaf:Person,,,,Pierre Mounier,Pierre,Mounier,Pierre Mounier,,
62483,foaf:Person,,,,Audrey Moutat,Audrey,Moutat,Audrey Moutat,,
62337,foaf:Person,,,,Sylvain Moutier,Sylvain,Moutier,Sylvain Moutier,,
62492,foaf:Person,,,,Wenxin Mu,Wenxin,Mu,Wenxin Mu,,
61105,foaf:Person,,,,L. Muchnik,L.,Muchnik,L. Muchnik,,
62207,foaf:Person,,,,Elena Mugellini,Elena,Mugellini,Elena Mugellini,,
61088,foaf:Person,,40,20,Mioara Mugur-Schächter,Mioara,Mugur-Schächter,Mioara Mugur-Schächter,,
62691,foaf:Person,,,,Mark Mulligan,Mark,Mulligan,Mark Mulligan,,
61630,foaf:Person,,,,Gianluca Mura,Gianluca,Mura,Gianluca Mura,,
62391,foaf:Person,,,,Mark A. Musen,Mark A.,Musen,Mark A. Musen,,
62052,foaf:Person,,10,40,Widad Mustafa El Hadi,Widad,Mustafa El Hadi,Widad Mustafa El Hadi,,
61466,foaf:Person,,,,Glenn J. Myatt,Glenn J.,Myatt,Glenn J. Myatt,,
61945,foaf:Person,,,,Nagarjuna,,Nagarjuna,Nagarjuna,,
61890,foaf:Person,,,,Marc Nagels,Marc,Nagels,Marc Nagels,,
62346,foaf:Person,,,,Jocelyne Nanard,Jocelyne,Nanard,Jocelyne Nanard,,
62345,foaf:Person,,,,Marc Nanard,Marc,Nanard,Marc Nanard,,
61628,foaf:Person,,,,Jean-Luc Nancy,Jean-Luc,Nancy,Jean-Luc Nancy,,
62303,foaf:Person,,,,Moni Naor,Moni,Naor,Moni Naor,,
62441,foaf:Person,,,,Nathalie Aussenac-Gilles,,Nathalie Aussenac-Gilles,Nathalie Aussenac-Gilles,,
62442,foaf:Person,,,,Nathalie Hernandez,,Nathalie Hernandez,Nathalie Hernandez,,
61820,foaf:Person,,20,,Tobie Nathan,Tobie,Nathan,Tobie Nathan,,
61156,foaf:Person,,,,Colette Nativel,Colette,Nativel,Colette Nativel,,
62411,foaf:Person,,,,Iris V. Naudin,Iris V.,Naudin,Iris V. Naudin,,
62712,foaf:Person,,,,Florence Naugrette,Florence,Naugrette,Florence Naugrette,,
62715,foaf:Person,,,,Jean Neaumet,Jean,Neaumet,Jean Neaumet,,
61272,foaf:Person,,,,Frederic Nef,Frederic,Nef,Frederic Nef,,
61313,foaf:Person,,,,Luc Nefontaine,Luc,Nefontaine,Luc Nefontaine,,
61372,foaf:Person,,,,Toni Negri,Toni,Negri,Toni Negri,,
62473,foaf:Person,,,,S. Nepal,S.,Nepal,S. Nepal,,
62677,foaf:Person,,,,Rachel A. Neugarten,Rachel A.,Neugarten,Rachel A. Neugarten,,
61252,foaf:Person,,,,Fabian Neuhaus,Fabian,Neuhaus,Fabian Neuhaus,,
